ID;Year;Date;Stage;Home Team;Away Team;Host Team
1;2022;20/11/22;Group stage;Qatar;Ecuador;TRUE
2;2022;21/11/22;Group stage;Senegal;Netherlands;FALSE
3;2022;21/11/22;Group stage;England;Iran;FALSE
4;2022;21/11/22;Group stage;United States;Wales;FALSE
5;2022;22/11/22;Group stage;France;Australia;FALSE
6;2022;22/11/22;Group stage;Denmark;Tunisia;FALSE
7;2022;22/11/22;Group stage;Mexico;Poland;FALSE
8;2022;22/11/22;Group stage;Argentina;Saudi Arabia;FALSE
9;2022;23/11/22;Group stage;Belgium;Canada;FALSE
10;2022;23/11/22;Group stage;Spain;Costa Rica;FALSE
11;2022;23/11/22;Group stage;Germany;Japan;FALSE
12;2022;23/11/22;Group stage;Morocco;Croatia;FALSE
13;2022;24/11/22;Group stage;Switzerland;Cameroon;FALSE
14;2022;24/11/22;Group stage;Uruguay;South Korea;FALSE
15;2022;24/11/22;Group stage;Portugal;Ghana;FALSE
16;2022;24/11/22;Group stage;Brazil;Serbia;FALSE
17;2022;25/11/22;Group stage;Iran;Wales;FALSE
18;2022;25/11/22;Group stage;Qatar;Senegal;TRUE
19;2022;25/11/22;Group stage;Netherlands;Ecuador;FALSE
20;2022;25/11/22;Group stage;England;United States;FALSE
21;2022;26/11/22;Group stage;Tunisia;Australia;FALSE
22;2022;26/11/22;Group stage;Poland;Saudi Arabia;FALSE
23;2022;26/11/22;Group stage;France;Denmark;FALSE
24;2022;26/11/22;Group stage;Argentina;Mexico;FALSE
25;2022;27/11/22;Group stage;Japan;Costa Rica;FALSE
26;2022;27/11/22;Group stage;Belgium;Morocco;FALSE
27;2022;27/11/22;Group stage;Croatia;Canada;FALSE
28;2022;27/11/22;Group stage;Spain;Germany;FALSE
29;2022;28/11/22;Group stage;Serbia;Cameroon;FALSE
30;2022;28/11/22;Group stage;South Korea;Ghana;FALSE
31;2022;28/11/22;Group stage;Brazil;Switzerland;FALSE
32;2022;28/11/22;Group stage;Portugal;Uruguay;FALSE
33;2022;29/11/22;Group stage;England;Wales;FALSE
34;2022;29/11/22;Group stage;Iran;United States;FALSE
35;2022;29/11/22;Group stage;Ecuador;Senegal;FALSE
36;2022;29/11/22;Group stage;Qatar;Netherlands;TRUE
37;2022;30/11/22;Group stage;Denmark;Australia;FALSE
38;2022;30/11/22;Group stage;Tunisia;France;FALSE
39;2022;30/11/22;Group stage;Poland;Argentina;FALSE
40;2022;30/11/22;Group stage;Saudi Arabia;Mexico;FALSE
41;2022;1/12/22;Group stage;Croatia;Belgium;FALSE
42;2022;1/12/22;Group stage;Canada;Morocco;FALSE
43;2022;1/12/22;Group stage;Japan;Spain;FALSE
44;2022;1/12/22;Group stage;Costa Rica;Germany;FALSE
45;2022;2/12/22;Group stage;Ghana;Uruguay;FALSE
46;2022;2/12/22;Group stage;South Korea;Portugal;FALSE
47;2022;2/12/22;Group stage;Serbia;Switzerland;FALSE
48;2022;2/12/22;Group stage;Brazil;Cameroon;FALSE
49;2022;3/12/22;Round of 16;Netherlands;United States;FALSE
50;2022;3/12/22;Round of 16;Argentina;Australia;FALSE
51;2022;4/12/22;Round of 16;England;Senegal;FALSE
52;2022;4/12/22;Round of 16;France;Poland;FALSE
53;2022;5/12/22;Round of 16;Japan;Croatia;FALSE
54;2022;5/12/22;Round of 16;Brazil;South Korea;FALSE
55;2022;6/12/22;Round of 16;Morocco;Spain;FALSE
56;2022;6/12/22;Round of 16;Portugal;Switzerland;FALSE
57;2022;9/12/22;Quarter-finals;Netherlands;Argentina;FALSE
58;2022;9/12/22;Quarter-finals;Croatia;Brazil;FALSE
59;2022;10/12/22;Quarter-finals;England;France;FALSE
60;2022;10/12/22;Quarter-finals;Morocco;Portugal;FALSE
61;2022;13/12/22;Semi-finals;Argentina;Croatia;FALSE
62;2022;14/12/22;Semi-finals;France;Morocco;FALSE
63;2022;17/12/22;Third place;Croatia;Morocco;FALSE
64;2022;18/12/22;Final;Argentina;France;FALSE